product_name,review,rating
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","It's first day yet, camera is awesome, rest of the feature yet to establish, screen guard has been applied already, but no tempered glass in box, charging is good, but mobile feels heated little bit, have to see how it is on further usage..",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Review after 2 month's ussage.. all good the pic results are excellent except I am not satisfied with the telephoto, it gives 30x zoom but the image is blurred.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Battery, Charger, Performance totally mind-blowing! But camera Could be better",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Great mobile..📱 processor is very speed and touch is awesome..speed charging battery 🔋..great camera also👀👀,4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Very,4
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Samsung Galaxy s series great features at attractive price like always.
pros.
1. Killer Look with handy weight balance
2. Super Smooth scrolling experience in display
3. Fast Fingerprint sensor
4. Audio quality super.
5. Battery hold almost for a day even in heavy use not gaming.
6. gaming experience very smooth without any lag.
7. Phone has Reverse Charging Features to charge other gadgets wirelessly
8. camera... that is the best part of s series , awesome like always ..
9. 5g connectivity...
READ MORE",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Superb phone....,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Camera and display quality is awesome
There is no comparison in this segment.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",This time Samsung does very well. Currently Best Premium Smartphone in market.,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","From iphone 12 mini to this
Best phone",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Amazing camera and Good performance..best choice,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Amazing Product, Light Weight, Best Camera, Handy, Compact Premium Smart Phone.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Worth the wait, upgraded from Pixel 4a.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Amazing camera, good feel in hand, good battery",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Portrait mode is excellent.
Night mode performance is very good.pictures are clear and sharp.
Charging speed could have been better but yes battery is optimised very well so easily lasts for a day.",5
